2023-07-29 18:31:30,724 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Current SDK version is 0.15.7
2023-07-29 18:31:30,725 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Configure stats pid to 84798
2023-07-29 18:31:30,725 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Loading settings from /Users/vahid/.config/wandb/settings
2023-07-29 18:31:30,725 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Loading settings from /Users/vahid/GitHub/lc_qa_chat/wandb/settings
2023-07-29 18:31:30,725 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-07-29 18:31:30,725 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'venv/bin/uvicorn', 'program': '/Users/vahid/GitHub/lc_qa_chat/venv/bin/uvicorn'}
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:_log_setup():507] Logging user logs to /Users/vahid/GitHub/lc_qa_chat/wandb/run-20230729_183130-citaarwp/logs/debug.log
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/vahid/GitHub/lc_qa_chat/wandb/run-20230729_183130-citaarwp/logs/debug-internal.log
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:init():547] calling init triggers
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:init():596] starting backend
2023-07-29 18:31:30,726 INFO    MainThread:84798 [wandb_init.py:init():600] setting up manager
2023-07-29 18:31:30,734 INFO    MainThread:84798 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-29 18:31:30,737 INFO    MainThread:84798 [wandb_init.py:init():606] backend started and connected
2023-07-29 18:31:30,750 INFO    MainThread:84798 [wandb_init.py:init():697] updated telemetry
2023-07-29 18:31:30,766 INFO    MainThread:84798 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-07-29 18:31:31,145 INFO    MainThread:84798 [wandb_run.py:_on_init():2174] communicating current version
2023-07-29 18:31:31,214 INFO    MainThread:84798 [wandb_run.py:_on_init():2183] got version response 
2023-07-29 18:31:31,214 INFO    MainThread:84798 [wandb_init.py:init():781] starting run threads in backend
2023-07-29 18:31:31,260 INFO    MainThread:84798 [wandb_run.py:_console_start():2153] atexit reg
2023-07-29 18:31:31,260 INFO    MainThread:84798 [wandb_run.py:_redirect():2008] redirect: wrap_raw
2023-07-29 18:31:31,261 INFO    MainThread:84798 [wandb_run.py:_redirect():2073] Wrapping output streams.
2023-07-29 18:31:31,261 INFO    MainThread:84798 [wandb_run.py:_redirect():2098] Redirects installed.
2023-07-29 18:31:31,261 INFO    MainThread:84798 [wandb_init.py:init():822] run started, returning control to user process
2023-07-29 18:31:43,418 WARNING MsgRouterThr:84798 [router.py:message_loop():77] message_loop has been closed
